"f7","f7 2","w_iUH7","tl-m","w_kV33","gray","gray 2"
"May 13, 2024","Jody","1 out of 5 stars review","You should have a more accurate idea of your available stock. When you over sell to make sure you get the most, you do a disservice to your customers. Now I don't get my item, and I get to wait 10 days for my refund. Imagine the interest you can make on thousands of unfulfilled orders.","Over sold the item so had to cancel my order.","",""
"May 17, 2024","Charlie","5 out of 5 stars review","I love this Helmet. I am 6'4'' tall with a weight mass of 240lbs and when I was online searching for this Helmet, the description said adjustable to fit all. Well that absolutely correct.  All descriptions of this Helmet are absolutely correct.
Some was selling this Helmet around $70 not including tax and shipping fees, thanks Walmart.","Satisfied Fit..","",""
"Oct 20, 2023","Joe","5 out of 5 stars review","I've only used this once so far, but I can't find anything that would be considered a con or negative which is the best thing about it. It feels great and fits perfect without moving around; I've never had a helmet with such a great fit. It shipped free via Fedex and was delivered 14 hours after I made the purchase; not sure how that was possible. The visor clicks on easily. The sunglasses stay on securely with magnets yet they're very easy to remove and install; not sure I'm going to use them very often, but it seems like a nice option to have (would really be great for someone who wears glasses for vision). The rechargeable battery is great also and the charge port is extremely easy to access. The light isn't particularly bright, but it should be effective at night when you need it; it isn't going to help in daylight. This is really a well thought out product at a great value for the money.","Great fit and quality. Outstanding value.","",""
"Mar 8, 2024","bingo9","5 out of 5 stars review","This helmet seems to be of pretty good quality.  It fits nicely and has enough adjustments.  The magnetic visor is new for me and I am still learning to use it.  I think it will be something that I'll like once I get accustomed to it.  I have always worn sunglasses to ride so the visor is nice to have for wind protection for my eyes.  I had used my old helmet for 14 years and red that they should be replaced after 5, so that was my motivation.","Nice fitting helmet.","",""
"Feb 16, 2024","Fredrick","5 out of 5 stars review","I found every feature of this helmet more than met my expectations. Only wish I could wear my glasses under the clear magnetic eye visors but this proved to be a negotiable  inconvenience. They cut down on the sun's glear like a good pair of sunglasses. I very much liked the flashing light on the rear of the helmet that added to my visibility while riding at night.","this is a very good product","",""
"Sep 10, 2022","rodney","5 out of 5 stars review","Freaking awesome helmet! Magnetic goggles snap on and snap off like magic. Rear tail light USB rechargeable on back of helmet. Cool style and well ventilated. Made from quality material. Would pay double the price if I ever had to replace it. One of the very best items I've ever bought.","Freaking awesome helmet!","",""
"May 13, 2024","Moosegunk","1 out of 5 stars review","Although marketed as an ""adult"" sized helmet which will fit up to 24"", this helmet is clearly marked ""M"" and ""Medium"". Adjusted to the maximum, it barely fit my 23"" head, snuggly.

The visor sits too low, causing the wearer to crane their head uncomfortably upward to see out from under it.

The goggles rub uncomfortably on the bridge of my nose which is not large, They aren't wearable without modification.

The light seems to work fine.","Not the best ""adult"" sized helmet","",""
"Sep 26, 2024","ebikeridder","5 out of 5 stars review","Not many helmets have a shield. This worked well for a person who wears glasses. I got the adult L size. Better to have head room rather than be to tight. I wished it had the option of a clear shield.  This site has this for $20 less than the actual brand site. js I went to the brand site and got a clear shield :-)","Nice to have eye shield helmat","",""
"Jul 5, 2023","frederick","5 out of 5 stars review","It's got a good Fit, The Googles work great for riding on Shaded Trails. it keeps insects and direct wind out of my eyes, Googles are easy to remove for cleaning. When wearing the helmet  googles are about a ¼” above my nose. The Visor works good to put more air into the helmet.","Wearing a Helmet is no Hassle","",""
"Nov 2, 2023","Jonathon","5 out of 5 stars review","I feel like I'm a Tour de France rider wearing this helmet I love the adjustable settings it's super easy and the magnetic visor stays on with some very strong magnets. Also the light on the back last a long time and is rechargeable very easy and one of the best helmets I've owned","Coolest helmet ever!","",""
