"f7","f7 2","w_iUH7","tl-m","w_kV33","gray","gray 2"
"Nov 30, 2019","Garret Zemlak","4 out of 5 stars review","Could immediately tell from the pics that I'd like the looks. And was not disappointed with the style. Buying this online, I was a bit concerned about the one-size-fits-all helmet. I have a big noggin...and was afraid it might be too snug. But I love the fit. If you have a small or medium sized head, you might want/need to wear a head liner underneath or simply pull the chin strap a little tighter. I have a small nose which almost touches the goggles. It doesn't bother me. But if your facial features resemble those of Pinocchio, you should take this into consideration.I've had this for three weeks now. It's Thanksgiving time and autumn is turning into winter. Riding at 70 degrees, riding with the helmet on was perfect. However now that the tempuratures are dipping into the low 40s, my eyes start to water after riding just a mile or so. If I pulled my helmet off immediately after a ride, you'd have thought my dog just died!At any rate, note the visor doesn't wrap all the way around and lets in air around the temple area on both sides. I cut some thin rubber in a trapezoidal shape to fill this area (about 3"" x 1""). My five-mile rides to/from work are much more bearable now.Although this didn't affect my rating, it'd be nice to have two sets of goggles (one tinted, the other clear)..so we could ride with confidence day and night, even if it would be a few bucks more.","Overall A Great Value","Review from","victgoal.com"
"May 13, 2022","Jeanette  Manuel","3 out of 5 stars review","I purchased the VICTGOAL Bike Helmet with the hope of not having to wear sunglasses underneath the wind shield. The good news is that there is enough room to wear a pair of sunglasses underneath. The bad news is that there is so much room on the sides that you have to wear sunglasses underneath to keep the wind out of your eyes. I returned it. I gave it 3 stars because I liked the fluorescent green color and I liked that it came with a light in the back although the light is not really that bright but I guess it is better than not having any light at all.","Not really what I was looking for.","Review from","victgoal.com"
"Apr 18, 2022","Ifeanyichukwu Emmanuel","5 out of 5 stars review","The helmet fits well and is adjustable. I can wear a hat under it when it's cold. And the visibility is very good when wearing the visor. I haven't used the rear light as I ride only during daylight hours and I have lights on my bike. I recommend the helmet.","Good fit","Review from","victgoal.com"
"Jan 5, 2022","Patience Thompson","5 out of 5 stars review","This is the most comfortable helmet I've had. The lining is thick and cushiony. I love that it has the USB-rechargeable back light, which I will use in addition to other blinking lights on my backpack when I commute in the dark.The visor is interesting but is very close to my face. I wear glasses which makes it an even tighter fit. But the way it sticks on with magnets is a good design choice. I can see the benefit during light rain or snow which hampers my visibility. I would prefer that it was clear plastic so that it is easier worn at night.","Great helmet for the price; back light","Review from","victgoal.com"
"May 1, 2020","Jadyn O'Hara","5 out of 5 stars review","I read the reviews and try to be smart when I purchase a product I haven't been able to examine in person. This helmet delivers on value and features. The helmet fits well; the magnetic sun visor works great and is easy to remove and put on; the rechargeable light on the back of the helmet if great for riding in low light. The interior of the helmet has a good amount of cushion and breathable fabric that allows for a constant airflow while riding.Overall, this helmet is a great value and I'm buying another one to give my gf as a present","Great helmet","Review from","victgoal.com"
"Aug 6, 2020","Mandy Cooper","5 out of 5 stars review","This is a really nice helmet. The adjustment disk on the back makes snugging it down or loosening it really easy. Covers the crown of the head unlike some that just sort of rest on top. I REALLY like the magnetic visor/shade. Why don't all helmets come with this? I know wear some cool sunglasses. Well those of us that already wear glasses prefer our own rather than buying separate glasses/contacts etc. The light on the back is a good feature. I have not used the light much to know how long the battery lasts.","Really adjustable, lightweight and airy","Review from","victgoal.com"
"Jan 24, 2021","Solon Turner","5 out of 5 stars review","Victpoal has done a great job. Not only is this helmet safe, but it also incorporates a light in the rear of the helmet so that I can be seen by cars coming at me from behind. It gives you the option to select the light: constant, fast flashing, and slow flashing. The light is red when charging via a standard USB. The light changes to green when It has finished charging. I would buy it again.","There are several tiers in bicycle helmets. Victgoal hit the sweet spot.","Review from","victgoal.com"
"Oct 7, 2020","Anna Phiri","5 out of 5 stars review","Very comfortable to wear, fits around the back of the head more than others. Magnetic visor is great, keeps the cold morning air off of your eyes. Built in light is another great feature. Cannot comment on its crash worthiness yet and hopefully won't ever have to.","very comfortable","Review from","victgoal.com"
"Feb 14, 2022","Elsa Quigley","2 out of 5 stars review","Seems good enough. Its comfortable thanks in large part to the adjustment mechanisms. I'm disappointed with the sun visor though since there is no place to store it. Why doesn't it clip onto the back of the helmet. If there's no place to store it you might as well just use sunglasses since they can be stored easier when not needed. Light in the back is a good idea except it's attached to the helmet so you have to have your helmet near your charger ;it would be far better if the light was detachable.","Seems ok so far but....sun visor & light","Review from","victgoal.com"
"Nov 1, 2020","Kanika Gara","4 out of 5 stars review","SummaryThis is a very good helmet which is adjustable and comfortable. Nice touch with the magnetic sun visor too.Look and FeelNice design and available colours with reflective strips. Straps have lots of adjustment with the tightening ratchet at the rear of the helmet and the chin straps adjust too.Sun VisorNice idea for the magnetic sun visor, but if used on a bumpy road and / or a road bike with slim tyres there may be an issue with the visor falling off and with a road bike there would be nowhere to store it - assuming it survived the fall. I have lost a couple of bike lights this way.","Comfortable and light weight - good and adjustable cycle helmet with rear red light","Review from","victgoal.com"
"Sep 28, 2020","Ben Holmes","5 out of 5 stars review","Fit perfect, well made, visor and eye shield very effective against sun and road debri and bugs, neeting keeps out bees. Rechargeable light a nice touch. I replaced my old Victgoal with this new one after a very hard crash. Broken rib, very sore shoulder, road rash knee,, cracked the helment after VERY hard bounch off the ashphalt. My head was very well protected. Old Victgoal helmet did its job VERY well. I feel very safe with their equipment.","WILL save your head.","Review from","victgoal.com"
"May 28, 2022","Joe Martin","2 out of 5 stars review","I'm a paramedic and thought this helmet had it all. I'm pretty critical since people's lives depend on how well my brain functions. I opened the box and put on the helmet...  almost zero padding inside! Lots of packing in the shell. The exterior is great, but the interior is seriously lacking. It fits about a size smaller, but I didn't play with the adjustment much. I decided early on I was returning the helmet for the cheaper and better rated Schwin. I can add my own rear light. I have the replacement from Schwin and love it, tons of padding and fits perfectly.","Almost no padding inside","Review from","victgoal.com"
"Jan 31, 2022","Azhar Mehta","4 out of 5 stars review","Good fit, sturdy clipping. Its back light is a bit small but will do the job when riding in the dark. It came with a recharging USB cable, but the cable is so dang short that you don't have much flexibility when placing the helmet while it charges. The plug in was rather hard to find and there is no indicator that it's even charging. Overall, it's a bit cheaply made but will do the job.","It Works","Review from","victgoal.com"
"Jun 10, 2022","Idella Kuphal","5 out of 5 stars review","Very comfortable and cool. Magnetic eye shields have great vision and easy to swap to the yellow or clear if you buy separately. If you ride at night you will want the clear or yellow so you can still keep the bugs out of your eyes. Fits great. Haven't crashed so I don't know how well it protects tho. USB charging for the blink light is easier than swapping batteries on the older style but not as bright to be seen in sunlight as the old style but will stand out on low light or night. I have both models. Net in top helps keep the bugs from getting through the vents. Been really happy with it","Love this.","Review from","victgoal.com"
"Sep 10, 2020","Devante Batz","5 out of 5 stars review","The helmet, removable visor and magnetic goggles arrived two days after ordered as promised. Packaging was in perfect condition. I was kind of leery of the goggles because I had never tried on a helmet that had them. I was very pleasantly surprised at the unimpeded vision I had. The goggles have a very nice smokey tint and had good glare reduction as well. I also had concerns about the goggles being held on by magnets but I popped them , very easy by the way, and proceeded to shake my head like a madman. They didn't budge. Using the adjustable sizing knob I was able to get a perfect fit for my slightly larger than average head (no comments from the peanut gallery!). It is very light and comfortable. The removable/washable liner is a definite plus. The fact that the rear of the helmet extends further down than a lot of others is nice and it also adds to the protection factor. The helmet has very good ventilation which is very important to me as I live in south Florida. The only drawback, although no biggy, is with the chin strap adjuster. I had to play with it a little but got it adjusted fine. The USB rechargeable rear multi-function light is cool and makes you much more visible to traffic than just having a tail light down under your saddle. I did notice that the light was beginning to come out of the helmet when I pulled it out of the box. I had read a couple of reviews that mentioned this issue but it was very easily negated by simply wedging a couple pieces of wire tie ends I cut on the sides of the light which cannot be seen at all once the light is in place. The included storage pouch is also pretty cool. I shopped all over the web looking for a helmet in the $50 +/- range and this one was my clear winner. Highly recommended.","Look cool even if your old!!!","Review from","victgoal.com"
"Jun 6, 2021","Esta Kawuki","4 out of 5 stars review","My helmet arrived a little late, other than that I have no gripes about this product. This helmet is great. Very comfortable due to the nice padded liner. Fit is as close to perfect as it gets. Nice padded chinstrap. This is probably the most well ventilated cycling helmet I've ever owned. Even when pushing hard on mixed terrain on the gravel bike on a hot day it keeps my dome cool. I love that the built in safety light is USB rechargeable. A big selling point for me was the removable sun visor as I will be using it as both a road and mountain bike helmet. I also love the sun goggle as I wear prescription lenses but like to wear sunglasses when on the bike, but can't see as well as I would like when I switch from my specs to sunglasses. The goggle allows me to wear my glasses underneath so I can see clearly. I am very impressed with the quality of this helmet at this price point. In short. I love this helmet.","Quality build. Great fit. Very comfy.","Review from","victgoal.com"
"Jun 1, 2021","Kubura Emmanuel","4 out of 5 stars review","This is a great helmet if you have a large head. My noggin is 6.75 and this helmet is too large. I like the style and the initial fit so I cut some flexible foam and placed it in the front to keep the goggles from banging my nose. Now it doesn't slide forward and down onto my nose.","It's good but needs some adjustments","Review from","victgoal.com"
"Jul 13, 2021","Clemens Feest","5 out of 5 stars review","I've only been back to cycling for two years and already had a good starter helmet which was fine on local bike paths. When I graduated to occasional road biking, I felt I needed more and this helmet is perfect. It's easily adjusted, is comfortable, has the removable visor and goggles and a rear light with 3 settings. For me, besides safety, one of my favorite features is the magnetic goggles. The magnets are stronger than I expected and I like that they are a bit further from my eyes than sunglasses. At the same time, my eyes are protected from bugs or any other minor debris. The light is higher on the rear rather than at the base making it more visible. I've already purchase 2 additional goggles in different colors and would definitely buy again.","My second helmet","Review from","victgoal.com"
"Nov 7, 2020","Rashid Dutt","5 out of 5 stars review","After never wearing a helmet when mtn biking(because I sweat too much)I saw the error of my ways and found this great helmet that is lightweight,comfy and strong. It fits my head nicely,has 2 detachable components(visor and sun shield) and even has a rechargeable LED safety light on the back. Also includes usb charger and storage bag. I only mtn bike as a hobby/exercise but so far it has held up well and my head doesn't feel sweaty and hot. It was very reasonably priced and feels strong and should protect my head if I fall off the bike. Although I would like to support my local bike shop,I just can't bring myself to pay2-3 times the price that is offered here. Overall,very happy with my purchase and feel like I am protected now from falls and bumps.","Great lightweight,strong helmet that doesn't give me sweat head","Review from","victgoal.com"
"Jul 5, 2020","Alaina Fisher","3 out of 5 stars review","Helmet fits fine but the visor that comes with doesn't really connect to anything. It has three prongs that you're supposed to just push into the foam sides of the helmet. Some people might have had better luck but it's a poor design. Overall it was a good value.","Visor lacks connection","Review from","victgoal.com"
"Jul 8, 2021","Rogers Were","5 out of 5 stars review","This is a lightweight helmet and has a great red light feature on the back that comes in useful at night. I have an extra red light under my seat but this is higher and easier for the cars to see me. The visor blocks out the sun glare and then the removable dark lens is also a great feature.","Head protector","Review from","victgoal.com"
"Nov 17, 2020","Rebekah Kerluke","5 out of 5 stars review","I like this helmet. It feels sturdy, well made and is especially well ventilated to avoid a hot, sweaty head and 'helmet hair' by providing a good airflow through the helmet while out on the road. I also found it lighter in weight than my previous helmet and in the low autumnal sun I found the clip-on peak to be at just the right angle when pedalling into the setting sun while, in strong headwinds the snap-on magnetic visor kept the wind out of my eyes and preventing them from streaming - which is a daily problem for me on chilly morning rides.The interior is well padded and the entire padding with insect net are removable for washing (much better than lining it with kitchen roll!). There were no parts which chaffed and I found it completely comfortable on full-day rides of +50 miles. Fit-wise it is marginally too large. Although sized at 57-62cm and having a 57cm head - it was just slightly looser than I would have liked but soon resolved by adding a few extra padding strips or, as I did initially, wearing a this skull-cap beneath it for protection from autumnal wind and rain.As for styling, I like this too. The rear has a good overhang from my head to give good protection in the event of an accident and a further excellent safety feature is the rear lamp with its 3 modes (static red, flashing red and slow-fading/flashing red) which those cycling behind me reassured me was highly visible in dusk and complete darkness. This is rechargeable via USB and on is flashing modes lasted a good 3 hours before returning home to recharge it. After using this, I would always now look for this feature on any future helmets - although I doubt I'll need to replace this for some time.I was pleased to see a CE stamp (hopefully genuine), conformance to EN1078 and a CPSC accredited testing stickers.I am very happy with this helmet which has now become my daily helmet.","Comfy, very well ventilated, feels safe and secure","Review from","victgoal.com"
"Jun 3, 2022","Emmanuel Maryjane","5 out of 5 stars review","Very good quality.Lightweight.This helmet fits my head perfectly.It does have a handy head adjustment at the back of the helmet so you can find tune the fit if needed.I love the built in rechargeable light.My wife surprised me with it and was so happy with the product she ordered one for herself.","Quality Bike Helmet","Review from","victgoal.com"
"Sep 12, 2020","Devin Koepp","1 out of 5 stars review","While the helmet appears to be of good quality, it has a serious design flaw. it sits very forward on the head to the point it covers the top part of my eyes. it ends up resting and putting pressure on my glasses. i have not been able to use the visor as it sits on the bridge of my nose and would cut into it if i wore it long enough. The nose cutout in the visor would need to be cut up about an inch to avoid this. i have used it numerous times and tried all the available adjustments but it does not help. My wife used it and she also had the same issues. i paid twice as much as others because i was willing to pay for a good product, but in this case, money did buy quality. i am sending it back.","Very poor design","Review from","victgoal.com"
"Jun 3, 2022","Tushar Patla","5 out of 5 stars review","Very sturdy and comfortable, I always forget I am wearing it. The visor is great too during sunny days or when riding in the woods as it acts as a fly screen.I used it on the first day I received it and have used it every day since.I was getting back into cycling after many years so my riding skills were a bit rusty.So on my first day back into cycling I stopped and turned during a ride, as I set off again I lost my balance and I fell sideways and hit my head on a tree, the helmet did its job and all was OK.I thanked myself for being sensible enough to wear a helmet.","Very sturdy and comfortable","Review from","victgoal.com"
"Nov 16, 2020","Hennie Swanepoel","5 out of 5 stars review","I really like this helmet. I like the option to wear or take off the visor and goggles. The goggles can be a little uncomfortable if you let the goggles rest on your nose. I like the goggles without sunglasses and wear them off my nose. It is also nice that it has a rechargeable light built into the helmet. I have not noticed that the helmet is warm--but I think that is a good thing.","Bright, Light, and Just Right","Review from","victgoal.com"
"Jul 10, 2021","Matilda White","5 out of 5 stars review","I just ordered a 2nd helmet after having a bad bike crash. My helmet, this same exact helmet, saved my head. I hit the pavement so hard that ribs were broken but despite my head also hitting the pavement, the helmet did its job and I had no head or neck injury. The helmet was hardly dented but for future safety I bought a new one, identical to the first. I also particularly like the visor which shields my face from wind and bugs, and the flashing light helps me feel safer from vehicles coming up from behind.","Helmet saved my head","Review from","victgoal.com"
"Oct 19, 2019","Bernard Kiwanuka","5 out of 5 stars review","Comfortable, and lightweight. The helmets interior strap is adjustable to fit any size head and has a an added benefit of a padded chin strap. The best surprise however was the sunglass shield, which magnetically attaches, no hard to snap on or off rivets and fits over my prescription glasses. The back light offers plenty of visibility for those of us riding in the dark and has three different lighting modes. I would recommend this helmet for anyone looking for a comfortable, functional, safe helmet that offers some additional benefits.","Comfortable, lightweight with great added benefits.","Review from","victgoal.com"
"Sep 26, 2019","Yvette Hunter","5 out of 5 stars review","Fantastically comfortable while also remaining secure. It's easy to adjust and the sizing was just right (I have a big head, so I appreciate the sizing being spot on).The integrated LED light works like a charm and I appreciate that it has a slow pulsing mode in addition to steady on and flashing modes. Being USB rechargeable is a huge boon and incredibly easy to do, although I wish it popped out of the helmet.The sunglasses visor snaps on perfectly and I'm able to use my prescription glasses without a single issue! It doesn't impact my peripheral vision anymore than normal either.The sun visor is more of a permanent snap on, but I suspect you could get it back off if you're careful enough.The best helmet I've ever worn in well over 30 years.","Comfortable, and the sun visor is fantastic if you wear glasses.","Review from","victgoal.com"
"Feb 28, 2021","Thomas Atuhire","4 out of 5 stars review","Great looking helmet and with the visors looks to be really good and with the rechargeable light on the back. Only thing I found was not as snug on the smallest setting as would have liked but with the strap done up to the right setting should be ok. My head is too big for a childs helmet but a little small for adults size, this is the best one I could find to do the job as it is easily adjusted.","Nice helmet","Review from","victgoal.com"
"May 21, 2021","Roger Ndebele","5 out of 5 stars review","Great helmet. I was afraid it would be too big due to other reviews, I have a small head. But I adjusted it and it fits great. The goggles are awesome. My only complaint is it said it was yellow. I was hoping the picture was wrong but it is more of a green color. Anyway, I would recommend it. It's very comfortable.a","Great Helmet","Review from","victgoal.com"
"Jun 2, 2020","Yvette Stamm","5 out of 5 stars review","Awesome helmet. Very stylish and the way the goggles clip on it ingenious. It just takes so long to ship. I wish they offered clear goggles too. Other than that, this is a great helmet. Very satisfied. My wife wanted one after seeing mine, so I ordered her one. Unfortunately it takes 2 months to get here.","Great Helmet","Review from","victgoal.com"
"Feb 21, 2020","Cortney Gerlach","4 out of 5 stars review","So far I very much like this helmet - though I haven't been able to tell what makes this one ...  uperior...  in terms of keeping your head cool compared to others yet. Adjusting the straps to fit your head could use a bit more clear instructions and I'm not sure about the fitting because the sunglasses visor hits my nose a little sometimes. However overall I definitely recommend this helmet especially for frequent riders in sunny areas. The sunglass visor was a selling point for me and it was the right choice in my case.","Recommend for sunny areas","Review from","victgoal.com"
"Jan 10, 2022","Ajeet Dhaliwal","5 out of 5 stars review","This helmet is a good quality, light weight helmet. I commute by bike every day so this feels like a necessity even though I did not use a helmet for the previous 65 years, it feels like the right thing to do. I really like the tinted visor as it reduces glare but more importantly keeps the cold wind off my face and reduces eye watering in bright sun.","High Quality, Inexpensive","Review from","victgoal.com"
"Jun 22, 2021","Christopher Lee","5 out of 5 stars review","Amazing performance vs price!Great fit without having to fiddle with adding or adjusting pads. Rotating tightener like the expensive helmetsLight (with included charging cable) works well and is high-vis. Getting the connectors to mate was a little bit rough. Should get easier with practiceThe visor does not lock in well in the center. I'll need some time to play with it if I plan on using it (so far, I don't plan on using it)The magnetic sunglass is excellent! No issues there. My glasses fit nicely underneathSorry folks... I'm not going to give it the ultimate test... I have to trust that it was built properly and from the proper materialsFor the price, it's a winner!","Pretty darn good helmet","Review from","victgoal.com"
"Nov 5, 2020","Arvilla Herzog","5 out of 5 stars review","After receiving the helmet I was very happy with this product. some of the best features for this is the helmet has a very hard front is very breathable as it has ventilation holes and is very lightweight and fits snug. the material is also very solid. I also really like the detachable windshield for the eyes. the instructions on how to attach and detach is very clear. the windscreen also blocks out their sun. which works great as a shades on sunny days. the red light on the back of the helmet is also very handy it has three different settings which is great depending on where you are biking as it saves the taillights for cycling.Overall I am very happy with the product and would recommend if you're looking for a good quality light weight biking helmet for a good price.","good quality lightweight bike helmet","Review from","victgoal.com"
"Jul 6, 2020","Alejandrin Konopelski","5 out of 5 stars review","Overall, it's agreat helmet! I ride along highways and like the flashing light and all the reflective areas on the helmet and straps.I wear glasses so have to take the visor off each time I put the helmet on. Other than that minor convenience, it is a very good buy.","Great helmet with great safety features.","Review from","victgoal.com"
"Aug 13, 2020","Allan Atukunda","5 out of 5 stars review","The helmet is lightweight but strong. The removable visor and goggles are absolute pluses, such a neat feature. The straps are well made and adjust easily, and then can be wrapped to prevent unwanted slipping. It also comes with a nice little bag for when I am done riding and want to store my helmet away. I would gladly recommend this to friends and family.","The best helmet I've had","Review from","victgoal.com"
"Dec 9, 2021","Aatif Goswami","4 out of 5 stars review","Edit to add 1/17/22:I've had this helmet for about a month and a half now, with roughly 3 weeks of use and the reflective yellow is beginning to fade from use.-----Best part is the magnetic visor. It's strong and stays attached until removed by hand. Blocks wind so I can see. when it's windy and stuff is blowing around the visor protects me eyes. The visor it comes with digs into my nose a bit. Bought a clear visor for night time rides. Love the ability to change out visors.","Great functionality, but the reflective yellow fades with use","Review from","victgoal.com"
"Jun 10, 2021","Denise Jooste","3 out of 5 stars review","It is way to adjust and not too heavy. It was packaged in a standard box with other items so I have no idea whether it had been dropped and the structure compromised before I received it which has concerned me.The magnetic lens is handy over glasses but it drops off at the first provocation. All round, it's ...  k...  but I...  l be buying another at some point soon","It's ok","Review from","victgoal.com"
"Feb 11, 2021","Dianna Donnelly","5 out of 5 stars review","While the light on the helmet is far too dim to be observable from a distance, particularly in daytime, the fact that it can be recharged without having to pull it off the helmet and charge it and the struggle to put it back exactly where it was, is a great asset. I have another helmet that makes handling the light a major production!The detachable magnetic goggles are great, I have already ordered two different colors.","works exactly as described","Review from","victgoal.com"
"Dec 31, 2020","Dominique Wunsch","5 out of 5 stars review","These helmets are superb Very light,comfortable,look good tooI like the colours that are available and the option to have a visor is a big plus point in my opinionThe visor is held on with strong magnets and gives good vision The rear light that's built in is great and I love the rechargeable function fitted I have now bought another for my partner and she too says it's comfortable light etc She also noted that the visor is good if you wear glassesI did have a problem with one of my helmets BUT the customer service from Victgoal was absolutely fantastic and I can't thank them enough for their quick resolution they are truly 5* and I would recommend them to anyone","Superb helmet and superb customer service too !","Review from","victgoal.com"
"May 2, 2022","Nishita Bobal","5 out of 5 stars review","I'm 70 years old. I decided to buy an ebike and ride it in the desert. About 2 miles in, on my 2nd ride, I hit some sand and it threw me off my bike. Even though I had some bad injuries, the injuries would have been so much worse without the helmet. Pulled 2 rocks out that were embedded. They would have been in my head. Very good helmet. Gave the bike and helmet to my son. LOL","Best helmet ever.","Review from","victgoal.com"
"Nov 16, 2020","Dave Thomas","5 out of 5 stars review","This bike helmet is extremely comfortable and safe. It comes with a simple to adjust harness that you set once and and then use the safety clip 2 to hold it under your chin. There's an LED light at the back which is extremely bright but do not blind other drivers. The visor is extremely useful if like me you use your bike in the mud so you don't get it in your eyes. This visor is easily detached for any other kind of rides. It provides very good ventilation so you do not sweat too much on your head. The design is very stylish with the black and white stripes and matches many jackets available-for-sale.","One of the best helmets i tried","Review from","victgoal.com"
"Apr 15, 2021","Lerato Schutte","5 out of 5 stars review","I've not had a bicycle in 40 years, so after purchasing a mountain bike I thought I'd get the helmet too. Love the magnetic goggles on this and can even wear it while wearing my glasses. Easily adjustable and not so different from my equestrian helmet. I love the bag that came with it and use it for storage from the handlebar when not riding my bike. Lightweight, rechargeable light, and looks better with the removable visor vs. without it.","Great purchase","Review from","victgoal.com"
"Oct 6, 2020","Emmanuel Quitzon","5 out of 5 stars review","Great helmet easily adjusts to your required fit .The built in light is very bright and has 3 modes on, fast flash ,slow flash.Easily charged by usb and the perplex Google's are great if like me you wear glasses I did by a clear set to for night time or rainy days .Overall carry happy with this purchase and it was well package and comes with its on storage bag","Great helmet very comfortable","Review from","victgoal.com"
"Jan 8, 2021","Mariam Katusiime","3 out of 5 stars review","I have a large head , and the helmet just fits when adjusted fully open. The problem is my sunglasses won't fit under the face shield. So I purchased some small round magnets, and use them as spacers to push the face mask out. Now my smallest glasses will fit under the mask. But my big sunglasses still wont fit. Helmet feels heavy compared to my other name brand one. Lite only lasts a few rides(20 miles or so) then it needs to be charged. I do like keeping the sun off my face. The bright yellow is easy to see from a distance. I wish the manufacturer would make a large version of this.","Sunglasses wont fit","Review from","victgoal.com"
"Nov 2, 2021","Marvin Turyasingura","4 out of 5 stars review","Great style, Lightweight, was able to adjust just to headsize with a turn if the knob.Plastic goggles bounced around while on my ride and kept hitting my nose, hence 3 stars for stability...maybe stronger magnets? How can I fix this? Shield keeps wind out of my eyes.Also, arrived with a dent on top.4 stars...5 would be no dent and better magnets to secure to unit better.","Nice bike helmet/goggles come loose","Review from","victgoal.com"
"May 24, 2021","Maxine O'Connell","4 out of 5 stars review","I really like the face shield. I use this riding my electric bike and I've had alot of bugs bounce off the facehshield that would have otherwise pegged my face. I like the integrated led light in the back. My only complaint is that the ratchet sizing system doesn't go small enough and the helmet fits a bit loose. I'm needing to rig it with something to make a more snug fit.","Really nice helmet. Doesn't get small enough for sizing","Review from","victgoal.com"
"Jul 25, 2021","Hope Welch","5 out of 5 stars review","I bought this helmet because I want to be more visible to traffic. The design is very nice looking, the colors options are cool. Straps are very comfortable. light charge with USB port. Comes with a very flexible visor and shield with magnets for easy removal. Check my channel in YouTube LetsRollQ for unboxing and review of this helmet.","very comfortable and plenty of vents for air flow","Review from","victgoal.com"
"Jul 24, 2022","Lonzo Murazik","4 out of 5 stars review","Comfortable and stylish, fits me well. The led on the back is a plus, although when in riding position this is pointed more at the sky than behind you. This helmet looks and feels like it would provide reasonable protection in a crash.I like the idea of the visor, but the gray tint is pretty dark and I wouldn't use it except in direct sunlight. I bought the yellow tinted one separately, which works on cloudy days and even at night. The notch for your nose on both visors was too small for me and I had to use a hobby knife to keep them from riding on my nose. No matter which of my three pairs of glasses I wear, the inside of the visor presses against them lightly, kind of annoying, but not so bad as to make the visor unusable. The assist on my ebike cuts out at 28 mph, so I generally move along pretty quick when I am riding, and the visors really help cut down on eye watering and keep bugs off of the upper half of my face. I just wish the visor setup was designed better, so that it wouldn't press against my nose and glasses.","Nice helmet","Review from","victgoal.com"
"Nov 15, 2020","Pamela Mushabe","4 out of 5 stars review","Likes: neatly made; many large vents; removable bug net; suitable for mountain biking or commuting; extends quite low at the back, snug fit, good adjustment, has reflective material on the straps, removable padded chin strap for comfort, easy to adjust and release under-chin buckle, well finished and moulded exterior, robust feel. Rear light is a nice touch and reassuring back up to bike lights. USB rechargeable light comes with usb cable. Manual included for fitting and maintaining, also has a carry bag. Removable goggles are a nice touch and sit far enough away from the face to allow wearing prescription glasses.Dislikes: slightly heavy for wearing all day, goggles rattle a little when off road, strap adjuster under ears moves when taking off and on.","Suitable helmet for day and evening use","Review from","victgoal.com"
"May 14, 2022","Akunna Yussuf","2 out of 5 stars review","Their fit guide is very misleading. I guess they just measured the circumference of the helmet and posted it. The problem is that people's heads come in different shapes. Unless your head has the exact shape as the helmet, it may not fit into the helmet even if its circumference falls right in the middle of the claimed range. They did post the width of the helmet to be 7 in / 18 cm, which could have solved the problem. However, if you don't want your head to be squeezed, that width should be 6.3 in / 16 cm, much smaller than the 7 in / 18 cm as they claimed.I give 2 stars instead of 1 because the design with the magnetic goggle is cool. My daughter ends up taking it so I don't need to return it.","Misleading fit guide. Doesn't fit 23 inch / 58 cm head","Review from","victgoal.com"
"Sep 21, 2020","Celestine Keebler","5 out of 5 stars review","This is a very comfortable helmet. The shield protects the eyes from the wind and the rear light is a safety aid.The review asks about warmth. In summer one does not want a warm helmet - and this helmet has good ventilation; my head has not gotten hot. It has always been comfortable.","Top-notch helmet.","Review from","victgoal.com"
"Feb 10, 2021","Adaugo Olumide","5 out of 5 stars review","I like the comfort. I ride to work early in the morning so the light on the back of the helmet is good for visibility for drivers coming up behind me. Also, I don't have to worry about safety eyewear since the visor is included and the magnets do a great job holding it in place.","Great product, good price!","Review from","victgoal.com"
"Nov 5, 2020","Deep Sarna","2 out of 5 stars review","The helmet's hardness is great and the light works exceptionally well. The challenge is the straps. They loosen over time easily and cause the helmet to slip too easily. I'm geri-rigging a fix so that it stays put, and we'll see how it goes. The challenge is that the straps don't have any stickiness to create friction having it stay put. Otherwise it's a useful helmet.","Great concept in helmet!","Review from","victgoal.com"
"Nov 16, 2019","Colin Morris","5 out of 5 stars review","Great helmet at great price. Goggles did push on my nose but were easily adjusted out with magnets. I put one on each side and two in the center. The helmet's goggles work better than ski goggles because they are vented better. I had dual layer ski goggles that still fogged in low temperatures especially near dew point. I put anti fog on the helmet goggles and was able to ride at 3F and still see. I mounted the rear view mirror on the outside rather than inside of the helmet to not interfere with the goggles. I bought the clear goggles to be able to ride to work in the winter in Wisconsin.","Easy to Adjust Visor with Magnets","Review from","victgoal.com"
"Jul 24, 2022","Charles Murray","5 out of 5 stars review","I accidentally got a large, but when my husband saw the helmet he immediately wanted it. So I bought a small one for myself. It blocks the wind really well so now I don't tear up in the wind. The visor pops on and off very easily, so I think you would be able to ride with glasses on underneath pretty easily. So glad I found this because my eyes are very sensitive to wind.","The perfect bike helmet","Review from","victgoal.com"
"May 2, 2021","Brooks Nienow","5 out of 5 stars review","After 3 months and 1500 miles, I am still pleased with this helmet. The tinted googles keep your eyes from watering in head winds. The gray googles may interfere with some polarized eyeglasses but overall they are very good for reducing glare. By not using the included black visor you can conveniently store the goggles reversed in the ""up"" position for when you don't need them. When buying extra goggles (yellow, clear, etc.) note that VG sells two styles which are not interchangeable. The rechargeable rear light changes from red to green when fully charged. The helmet straps tend to loosen over time but tacking them in place with a stitch or two with thread fixes the problem easily. Not as stylish as the big $$ versions, this helmet is still a great value.","Great Value Helmet with Extras","Review from","victgoal.com"
"Jul 17, 2020","Diya Palan","3 out of 5 stars review","I decided to buy it because the description mentioned that it would fit to a round measurement of 24 inches, which is me. Unfortunately my head overall fits, but it feels tight on the sides. I am sure that it will be uncomfortable to wear for more than 30 minutes.I returned it today.","Helmet is small for me","Review from","victgoal.com"
